id,job_id,default_weightage,date_created,date_updated,skill_id,experience_months
276,8,3,2017-04-07 16:52:02.931361+00,2017-04-07 16:52:02.9314+00,243,6
280,8,1,2017-04-07 16:52:02.959117+00,2017-04-07 16:52:02.959147+00,32,12
44,2,2,2017-01-18 03:52:28.119134+00,2017-01-18 03:52:28.119157+00,79,12
59,2,3,2017-01-18 03:52:28.168293+00,2017-01-18 03:52:28.168317+00,66,6
43,2,1,2017-01-18 03:52:28.114486+00,2017-01-18 03:52:28.11451+00,211,6
41,2,3,2017-01-18 03:52:28.105758+00,2017-01-18 03:52:28.105782+00,20,12
38,2,5,2017-01-18 03:52:28.096809+00,2017-01-18 03:52:28.096833+00,150,12
1015,48,5,2018-01-29 16:57:33.383324+00,2018-01-29 16:57:33.383346+00,7535,24
1014,48,1,2018-01-29 16:57:33.379081+00,2018-01-29 16:57:33.379104+00,306,6
1012,48,3,2018-01-29 16:57:33.365587+00,2018-01-29 16:57:33.365619+00,79,12
54,2,5,2017-01-18 03:52:28.150484+00,2017-01-18 03:52:28.150507+00,52,12
61,2,5,2017-01-18 03:52:28.174031+00,2017-01-18 03:52:28.174055+00,252,12
37,2,3,2017-01-18 03:52:28.093659+00,2017-01-18 03:52:28.093682+00,3,12
9,1,2,2017-01-18 00:11:47.85495+00,2017-01-18 00:11:47.854973+00,170,12
51,2,3,2017-01-18 03:52:28.141456+00,2017-01-18 03:52:28.141493+00,114,12
18,1,3,2017-01-18 00:11:47.881508+00,2017-01-18 00:11:47.881532+00,66,6
2,2,5,2017-01-11 18:17:11.986686+00,2017-01-11 18:17:11.986686+00,2,18
396,12,4,2017-06-18 03:19:53.080112+00,2017-06-18 03:19:53.080143+00,52,12
36,2,2,2017-01-18 03:52:28.090741+00,2017-01-18 03:52:28.090764+00,13,12
311,6,3,2017-05-25 23:13:14.002099+00,2017-05-25 23:13:14.002132+00,114,12
47,2,2,2017-01-18 03:52:28.128969+00,2017-01-18 03:52:28.128992+00,116,6
45,2,3,2017-01-18 03:52:28.122704+00,2017-01-18 03:52:28.122726+00,32,6
312,6,2,2017-05-25 23:13:14.01031+00,2017-05-25 23:13:14.010337+00,79,12
40,2,3,2017-01-18 03:52:28.102582+00,2017-01-18 03:52:28.102605+00,291,6
49,2,5,2017-01-18 03:52:28.135333+00,2017-01-18 03:52:28.13536+00,182,18
397,12,4,2017-06-18 03:19:53.086095+00,2017-06-18 03:19:53.08612+00,252,12
398,12,3,2017-06-18 03:19:53.090474+00,2017-06-18 03:19:53.090498+00,211,12
336,16,5,2017-06-02 17:49:46.429414+00,2017-06-02 17:49:46.429445+00,7483,12
360,16,5,2017-06-12 20:21:43.070697+00,2017-06-12 20:21:43.070736+00,7424,6
399,12,5,2017-06-18 03:19:53.094928+00,2017-06-18 03:19:53.094951+00,2,12
33,2,3,2017-01-18 03:52:28.081361+00,2017-01-18 03:52:28.081384+00,60,6
400,12,5,2017-06-18 03:19:53.099204+00,2017-06-18 03:19:53.099226+00,170,18
55,2,2,2017-01-18 03:52:28.153331+00,2017-01-18 03:52:28.153354+00,70,12
57,2,3,2017-01-18 03:52:28.159303+00,2017-01-18 03:52:28.159327+00,202,12
292,10,3,2017-04-25 21:45:46.575632+00,2017-04-25 21:45:46.575667+00,170,12
295,10,3,2017-04-25 21:45:46.589868+00,2017-04-25 21:45:46.589893+00,203,12
277,8,1,2017-04-07 16:52:02.939195+00,2017-04-07 16:52:02.939221+00,34,6
89,4,4,2017-02-10 22:42:52.539497+00,2017-02-10 22:42:52.539521+00,228,12
85,4,1,2017-02-10 22:42:52.521398+00,2017-02-10 22:42:52.521422+00,323,6
12,1,1,2017-01-18 00:11:47.864011+00,2017-01-18 00:11:47.864035+00,195,18
4,1,2,2017-01-18 00:11:47.839859+00,2017-01-18 00:11:47.839883+00,323,12
73,4,2,2017-02-10 22:42:52.457049+00,2017-02-10 22:42:52.457074+00,20,12
82,4,3,2017-02-10 22:42:52.50312+00,2017-02-10 22:42:52.503145+00,211,12
77,4,4,2017-02-10 22:42:52.481131+00,2017-02-10 22:42:52.481156+00,13,18
83,4,1,2017-02-10 22:42:52.507468+00,2017-02-10 22:42:52.507495+00,12,6
72,4,4,2017-02-10 22:42:52.452651+00,2017-02-10 22:42:52.452675+00,288,18
87,4,4,2017-02-10 22:42:52.530959+00,2017-02-10 22:42:52.530983+00,70,18
69,4,3,2017-02-10 22:42:52.439656+00,2017-02-10 22:42:52.43968+00,31,12
67,4,1,2017-02-10 22:42:52.430535+00,2017-02-10 22:42:52.43056+00,203,6
15,1,5,2017-01-18 00:11:47.872733+00,2017-01-18 00:11:47.872757+00,20,12
66,4,5,2017-02-10 22:42:52.426201+00,2017-02-10 22:42:52.426225+00,3,12
80,4,2,2017-02-10 22:42:52.494121+00,2017-02-10 22:42:52.494145+00,243,6
68,4,5,2017-02-10 22:42:52.435074+00,2017-02-10 22:42:52.435098+00,32,18
23,1,1,2017-01-18 00:11:47.903293+00,2017-01-18 00:11:47.903316+00,70,12
78,4,2,2017-02-10 22:42:52.485577+00,2017-02-10 22:42:52.485602+00,252,12
278,8,1,2017-04-07 16:52:02.945943+00,2017-04-07 16:52:02.945977+00,235,12
81,4,4,2017-02-10 22:42:52.498686+00,2017-02-10 22:42:52.498711+00,114,12
6,1,1,2017-01-18 00:11:47.845811+00,2017-01-18 00:11:47.845834+00,116,6
11,1,3,2017-01-18 00:11:47.860926+00,2017-01-18 00:11:47.86095+00,174,6
27,1,2,2017-01-18 00:11:47.914741+00,2017-01-18 00:11:47.914765+00,203,12
84,4,5,2017-02-10 22:42:52.516483+00,2017-02-10 22:42:52.516509+00,178,12
17,1,1,2017-01-18 00:11:47.878519+00,2017-01-18 00:11:47.878542+00,34,6
26,1,3,2017-01-18 00:11:47.911993+00,2017-01-18 00:11:47.912016+00,106,12
25,1,5,2017-01-18 00:11:47.909209+00,2017-01-18 00:11:47.909233+00,252,18
21,1,5,2017-01-18 00:11:47.897604+00,2017-01-18 00:11:47.897628+00,12,12
8,1,3,2017-01-18 00:11:47.851833+00,2017-01-18 00:11:47.851873+00,32,12
19,1,3,2017-01-18 00:11:47.891859+00,2017-01-18 00:11:47.891883+00,3,6
279,8,1,2017-04-07 16:52:02.952591+00,2017-04-07 16:52:02.952625+00,190,12
14,1,1,2017-01-18 00:11:47.869766+00,2017-01-18 00:11:47.869789+00,13,12
24,1,1,2017-01-18 00:11:47.906146+00,2017-01-18 00:11:47.90617+00,127,12
22,1,3,2017-01-18 00:11:47.900412+00,2017-01-18 00:11:47.900436+00,114,12
1,1,5,2017-01-11 18:17:11.986686+00,2017-01-11 18:17:11.986686+00,52,18
325,13,1,2017-05-25 23:45:11.740774+00,2017-05-25 23:45:11.740812+00,114,18
16,1,1,2017-01-18 00:11:47.875455+00,2017-01-18 00:11:47.875482+00,79,12
7,1,1,2017-01-18 00:11:47.848707+00,2017-01-18 00:11:47.84873+00,31,12
29,2,4,2017-01-18 03:52:28.057984+00,2017-01-18 03:52:28.058013+00,14,6
326,13,1,2017-05-25 23:45:11.74522+00,2017-05-25 23:45:11.745245+00,190,12
401,12,5,2017-06-18 03:19:53.103188+00,2017-06-18 03:19:53.103211+00,203,18
402,12,4,2017-06-18 03:19:53.107266+00,2017-06-18 03:19:53.107289+00,57,12
403,12,3,2017-06-18 03:19:53.111205+00,2017-06-18 03:19:53.111229+00,66,12
404,12,2,2017-06-18 03:19:53.115244+00,2017-06-18 03:19:53.115267+00,176,12
405,12,5,2017-06-18 03:19:53.119649+00,2017-06-18 03:19:53.119675+00,182,12
406,12,3,2017-06-18 03:19:53.135126+00,2017-06-18 03:19:53.13515+00,14,12
407,12,4,2017-06-18 03:19:53.139444+00,2017-06-18 03:19:53.139468+00,32,18
408,12,2,2017-06-18 03:19:53.143408+00,2017-06-18 03:19:53.143431+00,13,12
409,12,4,2017-06-18 03:19:53.147468+00,2017-06-18 03:19:53.147491+00,3,12
327,13,1,2017-05-25 23:45:11.749214+00,2017-05-25 23:45:11.749239+00,79,12
324,13,1,2017-05-25 23:45:11.725177+00,2017-05-25 23:45:11.725212+00,235,12
428,14,5,2017-06-18 03:38:31.143195+00,2017-06-18 03:38:31.143226+00,20,12
429,14,4,2017-06-18 03:38:31.150662+00,2017-06-18 03:38:31.150687+00,70,12
373,20,5,2017-06-16 21:40:53.43889+00,2017-06-16 21:40:53.438921+00,794,12
31,2,4,2017-01-18 03:52:28.065341+00,2017-01-18 03:52:28.065364+00,31,6
281,7,3,2017-04-10 16:33:19.409498+00,2017-04-10 16:33:19.409531+00,513,6
282,7,3,2017-04-10 16:33:19.421653+00,2017-04-10 16:33:19.421692+00,243,6
148,7,4,2017-03-07 19:33:53.395978+00,2017-03-07 19:33:53.396+00,756,12
137,7,5,2017-03-07 19:15:40.153903+00,2017-03-07 19:15:40.153928+00,252,12
145,7,2,2017-03-07 19:33:53.382475+00,2017-03-07 19:33:53.382499+00,34,6
343,16,5,2017-06-06 15:53:05.917925+00,2017-06-06 15:53:05.917951+00,7406,12
146,7,1,2017-03-07 19:33:53.386967+00,2017-03-07 19:33:53.387+00,170,12
349,16,5,2017-06-06 15:53:05.951702+00,2017-06-06 15:53:05.951724+00,6633,12
339,16,5,2017-06-06 15:53:05.899399+00,2017-06-06 15:53:05.899421+00,7474,12
376,2,4,2017-06-18 01:15:54.440921+00,2017-06-18 01:15:54.440945+00,170,12
149,7,1,2017-03-07 19:33:53.400574+00,2017-03-07 19:33:53.400598+00,203,12
344,16,5,2017-06-06 15:53:05.921927+00,2017-06-06 15:53:05.921953+00,7419,6
136,7,3,2017-03-07 19:15:40.149124+00,2017-03-07 19:15:40.149148+00,235,12
141,7,2,2017-03-07 19:33:53.356798+00,2017-03-07 19:33:53.356836+00,13,12
150,7,2,2017-03-07 19:33:53.410907+00,2017-03-07 19:33:53.41093+00,32,12
142,7,2,2017-03-07 19:33:53.367683+00,2017-03-07 19:33:53.367707+00,70,12
377,2,3,2017-06-18 01:15:54.445205+00,2017-06-18 01:15:54.445228+00,176,6
361,16,1,2017-06-13 15:09:53.168866+00,2017-06-13 15:09:53.1689+00,7423,6
298,10,2,2017-04-25 22:01:16.145788+00,2017-04-25 22:01:16.145826+00,114,12
1019,48,5,2018-01-29 16:57:33.400058+00,2018-01-29 16:57:33.400081+00,32,12
112,5,3,2017-03-07 18:44:49.974296+00,2017-03-07 18:44:49.974345+00,294,6
105,5,3,2017-03-07 18:44:49.939146+00,2017-03-07 18:44:49.939186+00,438,6
111,5,3,2017-03-07 18:44:49.969945+00,2017-03-07 18:44:49.969972+00,331,6
108,5,3,2017-03-07 18:44:49.956292+00,2017-03-07 18:44:49.95633+00,1312,6
114,5,3,2017-03-07 18:44:49.990148+00,2017-03-07 18:44:49.990173+00,167,6
140,7,3,2017-03-07 19:15:40.168931+00,2017-03-07 19:15:40.168957+00,20,12
95,4,1,2017-02-10 22:42:52.647107+00,2017-02-10 22:42:52.64713+00,405,0
94,4,4,2017-02-10 22:42:52.642775+00,2017-02-10 22:42:52.642799+00,79,18
301,10,2,2017-04-25 22:01:16.158767+00,2017-04-25 22:01:16.158792+00,3,18
98,4,3,2017-02-10 22:42:52.660482+00,2017-02-10 22:42:52.660507+00,173,6
122,6,3,2017-03-07 19:01:13.865624+00,2017-03-07 19:01:13.865662+00,491,18
129,6,2,2017-03-07 19:06:52.841032+00,2017-03-07 19:06:52.841057+00,235,12
123,6,3,2017-03-07 19:01:13.874838+00,2017-03-07 19:01:13.874864+00,170,18
124,6,3,2017-03-07 19:01:13.8794+00,2017-03-07 19:01:13.879423+00,203,18
125,6,2,2017-03-07 19:06:52.820447+00,2017-03-07 19:06:52.820484+00,190,12
104,4,3,2017-02-14 22:33:24.941992+00,2017-02-14 22:33:24.942016+00,744,12
91,4,1,2017-02-10 22:42:52.629526+00,2017-02-10 22:42:52.629562+00,491,6
126,6,5,2017-03-07 19:06:52.827101+00,2017-03-07 19:06:52.827125+00,32,12
127,6,5,2017-03-07 19:06:52.831709+00,2017-03-07 19:06:52.831731+00,737,0
128,6,5,2017-03-07 19:06:52.836343+00,2017-03-07 19:06:52.83637+00,88,12
130,6,5,2017-03-07 19:06:52.845675+00,2017-03-07 19:06:52.845702+00,620,12
131,6,5,2017-03-07 19:06:52.850399+00,2017-03-07 19:06:52.850423+00,20,12
132,6,5,2017-03-07 19:06:52.854812+00,2017-03-07 19:06:52.854837+00,106,12
378,2,4,2017-06-18 01:15:54.464989+00,2017-06-18 01:15:54.465011+00,203,12
375,2,5,2017-06-18 01:15:54.436533+00,2017-06-18 01:15:54.436554+00,57,6
362,16,1,2017-06-13 15:09:53.174829+00,2017-06-13 15:09:53.174855+00,7377,12
313,9,1,2017-05-25 23:24:22.917546+00,2017-05-25 23:24:22.917579+00,235,0
314,9,1,2017-05-25 23:24:22.92356+00,2017-05-25 23:24:22.923584+00,190,0
315,9,1,2017-05-25 23:24:22.92829+00,2017-05-25 23:24:22.928318+00,79,0
1016,48,2,2018-01-29 16:57:33.388086+00,2018-01-29 16:57:33.388108+00,7453,6
341,16,2,2017-06-06 15:53:05.908254+00,2017-06-06 15:53:05.908276+00,7453,6
115,5,5,2017-03-07 18:44:49.994784+00,2017-03-07 18:44:49.994809+00,190,12
106,5,3,2017-03-07 18:44:49.947189+00,2017-03-07 18:44:49.947214+00,355,6
121,5,4,2017-03-07 18:44:50.021401+00,2017-03-07 18:44:50.021426+00,244,12
410,13,5,2017-06-18 03:32:26.994358+00,2017-06-18 03:32:26.994388+00,20,12
411,13,4,2017-06-18 03:32:27.000218+00,2017-06-18 03:32:27.00024+00,28,12
107,5,3,2017-03-07 18:44:49.951864+00,2017-03-07 18:44:49.951889+00,356,6
109,5,4,2017-03-07 18:44:49.960899+00,2017-03-07 18:44:49.960925+00,446,12
116,5,2,2017-03-07 18:44:49.999057+00,2017-03-07 18:44:49.999081+00,276,12
118,5,5,2017-03-07 18:44:50.008115+00,2017-03-07 18:44:50.008142+00,235,12
120,5,5,2017-03-07 18:44:50.016826+00,2017-03-07 18:44:50.016863+00,20,12
113,5,5,2017-03-07 18:44:49.978689+00,2017-03-07 18:44:49.978726+00,31,18
90,4,5,2017-02-10 22:42:52.543777+00,2017-02-10 22:42:52.543801+00,225,12
103,4,3,2017-02-14 22:33:24.935769+00,2017-02-14 22:33:24.935803+00,1286,12
92,4,2,2017-02-10 22:42:52.634011+00,2017-02-10 22:42:52.634039+00,106,12
1020,48,1,2018-01-29 16:57:33.40381+00,2018-01-29 16:57:33.403832+00,7512,12
138,7,3,2017-03-07 19:15:40.159202+00,2017-03-07 19:15:40.159226+00,211,6
412,13,3,2017-06-18 03:32:27.004713+00,2017-06-18 03:32:27.004735+00,57,6
345,16,4,2017-06-06 15:53:05.92599+00,2017-06-06 15:53:05.926015+00,7557,18
347,16,4,2017-06-06 15:53:05.942586+00,2017-06-06 15:53:05.942612+00,178,6
340,16,5,2017-06-06 15:53:05.904079+00,2017-06-06 15:53:05.904101+00,7420,12
342,16,5,2017-06-06 15:53:05.91231+00,2017-06-06 15:53:05.912333+00,7411,12
338,16,3,2017-06-06 15:53:05.895125+00,2017-06-06 15:53:05.895147+00,57,6
348,16,5,2017-06-06 15:53:05.947516+00,2017-06-06 15:53:05.947539+00,114,6
337,16,3,2017-06-06 15:53:05.889275+00,2017-06-06 15:53:05.889316+00,306,6
346,16,3,2017-06-06 15:53:05.938397+00,2017-06-06 15:53:05.938421+00,7421,6
413,13,3,2017-06-18 03:32:27.008787+00,2017-06-18 03:32:27.008812+00,13,12
414,13,5,2017-06-18 03:32:27.012985+00,2017-06-18 03:32:27.013007+00,2,18
415,13,5,2017-06-18 03:32:27.016977+00,2017-06-18 03:32:27.016999+00,60,12
416,13,5,2017-06-18 03:32:27.03892+00,2017-06-18 03:32:27.03895+00,291,12
417,13,4,2017-06-18 03:32:27.043311+00,2017-06-18 03:32:27.043334+00,3,18
418,13,4,2017-06-18 03:32:27.048771+00,2017-06-18 03:32:27.048793+00,176,12
419,13,4,2017-06-18 03:32:27.053779+00,2017-06-18 03:32:27.053802+00,32,12
420,13,5,2017-06-18 03:32:27.068662+00,2017-06-18 03:32:27.068693+00,52,12
421,13,4,2017-06-18 03:32:27.072822+00,2017-06-18 03:32:27.072845+00,66,12
422,13,4,2017-06-18 03:32:27.076705+00,2017-06-18 03:32:27.076727+00,211,12
423,13,5,2017-06-18 03:32:27.08058+00,2017-06-18 03:32:27.080602+00,182,18
331,14,1,2017-05-25 23:48:07.440894+00,2017-05-25 23:48:07.440922+00,79,12
329,14,1,2017-05-25 23:48:07.431734+00,2017-05-25 23:48:07.43176+00,235,12
330,14,1,2017-05-25 23:48:07.436277+00,2017-05-25 23:48:07.436303+00,114,12
374,2,3,2017-06-18 01:15:54.431018+00,2017-06-18 01:15:54.43105+00,28,6
1018,48,3,2018-01-29 16:57:33.396356+00,2018-01-29 16:57:33.396378+00,70,24
172,8,5,2017-03-07 20:43:21.429241+00,2017-03-07 20:43:21.429267+00,20,12
350,16,3,2017-06-06 16:10:02.788806+00,2017-06-06 16:10:02.788838+00,7556,6
161,7,5,2017-03-07 19:33:53.461943+00,2017-03-07 19:33:53.461965+00,52,12
181,8,1,2017-03-07 20:43:21.471385+00,2017-03-07 20:43:21.471411+00,12,12
184,8,5,2017-03-07 20:43:21.485511+00,2017-03-07 20:43:21.485548+00,52,12
182,8,1,2017-03-07 20:43:21.476046+00,2017-03-07 20:43:21.476096+00,3,6
186,8,3,2017-03-07 20:43:21.4956+00,2017-03-07 20:43:21.495625+00,106,12
167,8,2,2017-03-07 20:43:21.397044+00,2017-03-07 20:43:21.397077+00,13,12
183,8,2,2017-03-07 20:43:21.48084+00,2017-03-07 20:43:21.480861+00,70,12
155,7,5,2017-03-07 19:33:53.435187+00,2017-03-07 19:33:53.435211+00,31,12
284,5,4,2017-04-11 18:27:20.506303+00,2017-04-11 18:27:20.50633+00,14,6
179,8,1,2017-03-07 20:43:21.46196+00,2017-03-07 20:43:21.461984+00,116,6
286,5,5,2017-04-11 18:27:20.520957+00,2017-04-11 18:27:20.520982+00,79,12
154,7,4,2017-03-07 19:33:53.430343+00,2017-03-07 19:33:53.430368+00,114,12
153,7,5,2017-03-07 19:33:53.426037+00,2017-03-07 19:33:53.426063+00,12,12
168,8,5,2017-03-07 20:43:21.401869+00,2017-03-07 20:43:21.401906+00,203,12
178,8,1,2017-03-07 20:43:21.457497+00,2017-03-07 20:43:21.457521+00,174,6
152,7,2,2017-03-07 19:33:53.421502+00,2017-03-07 19:33:53.421527+00,79,12
287,5,3,2017-04-11 18:27:20.52817+00,2017-04-11 18:27:20.528196+00,12,6
176,8,3,2017-03-07 20:43:21.448324+00,2017-03-07 20:43:21.448348+00,66,6
175,8,1,2017-03-07 20:43:21.443361+00,2017-03-07 20:43:21.443396+00,756,12
289,5,5,2017-04-11 18:27:20.542248+00,2017-04-11 18:27:20.542274+00,3,6
166,8,3,2017-03-07 20:43:21.386744+00,2017-03-07 20:43:21.386774+00,211,6
163,7,1,2017-03-07 19:33:53.481181+00,2017-03-07 19:33:53.481216+00,106,12
288,5,0,2017-04-11 18:27:20.535111+00,2017-04-11 18:27:20.535137+00,32,12
197,9,0,2017-03-07 21:18:09.246242+00,2017-03-07 21:18:09.246267+00,3,0
203,9,0,2017-03-07 21:18:09.272478+00,2017-03-07 21:18:09.272502+00,1127,0
217,9,0,2017-03-07 21:18:11.130198+00,2017-03-07 21:18:11.130235+00,1127,0
193,9,1,2017-03-07 21:18:09.228802+00,2017-03-07 21:18:09.228826+00,70,0
215,9,0,2017-03-07 21:18:11.12107+00,2017-03-07 21:18:11.121094+00,620,6
195,9,0,2017-03-07 21:18:09.237665+00,2017-03-07 21:18:09.237689+00,620,6
224,9,3,2017-03-07 21:18:11.168787+00,2017-03-07 21:18:11.168815+00,491,0
200,9,3,2017-03-07 21:18:09.259062+00,2017-03-07 21:18:09.259103+00,491,0
187,9,1,2017-03-07 21:18:09.193651+00,2017-03-07 21:18:09.193688+00,756,0
188,9,3,2017-03-07 21:18:09.206232+00,2017-03-07 21:18:09.206263+00,66,0
190,9,1,2017-03-07 21:18:09.21569+00,2017-03-07 21:18:09.215714+00,114,0
220,9,1,2017-03-07 21:18:11.151787+00,2017-03-07 21:18:11.151812+00,116,0
204,9,1,2017-03-07 21:18:09.2767+00,2017-03-07 21:18:09.276724+00,116,0
192,9,0,2017-03-07 21:18:09.22458+00,2017-03-07 21:18:09.224606+00,52,12
222,9,3,2017-03-07 21:18:11.160349+00,2017-03-07 21:18:11.160385+00,323,0
191,9,3,2017-03-07 21:18:09.22002+00,2017-03-07 21:18:09.220045+00,323,0
209,9,0,2017-03-07 21:18:09.313835+00,2017-03-07 21:18:09.313859+00,3578,12
223,9,5,2017-03-07 21:18:11.164531+00,2017-03-07 21:18:11.164556+00,3082,0
202,9,5,2017-03-07 21:18:09.267928+00,2017-03-07 21:18:09.267952+00,3082,0
206,9,0,2017-03-07 21:18:09.285264+00,2017-03-07 21:18:09.285287+00,211,6
205,9,5,2017-03-07 21:18:09.280714+00,2017-03-07 21:18:09.280738+00,2747,0
212,9,1,2017-03-07 21:18:11.106254+00,2017-03-07 21:18:11.106291+00,13,0
201,9,1,2017-03-07 21:18:09.26381+00,2017-03-07 21:18:09.263835+00,13,0
219,9,3,2017-03-07 21:18:11.146364+00,2017-03-07 21:18:11.146393+00,203,0
196,9,3,2017-03-07 21:18:09.241875+00,2017-03-07 21:18:09.241899+00,203,0
218,9,5,2017-03-07 21:18:11.134592+00,2017-03-07 21:18:11.134617+00,170,0
194,9,5,2017-03-07 21:18:09.233096+00,2017-03-07 21:18:09.233123+00,170,0
210,9,0,2017-03-07 21:18:09.31855+00,2017-03-07 21:18:09.318574+00,20,6
213,9,0,2017-03-07 21:18:11.111872+00,2017-03-07 21:18:11.111898+00,150,12
199,9,0,2017-03-07 21:18:09.254687+00,2017-03-07 21:18:09.25471+00,150,12
