id,degree_major_name
1,Accounting
2,Accounting and Computer Science
3,Actuarial Science
4,Advertising and Public Relations
5,Aerospace Engineering
6,Agricultural Economics
7,Agriculture Production and Management
8,Animal Sciences
9,Anthropology and Archeology
10,Applied Biotechnology
11,Applied Mathematics
12,Architectural Engineering
13,Architecture
14,Area Ethnic and Civilization Studies
15,Art and Music Education
16,Art History and Criticism
17,Astronomy and Astrophysics
18,Atmospheric Sciences and Meteorology
19,Biochemical Sciences
20,Biological
21,Biological Engineering
22,Biology
23,Biomedical Engineering
24,Botany
25,Business Economics
26,Business Management and Administration
27,Chemical Engineering
28,Chemistry
29,Civil Engineering
30,Clinical Psychology
31,Cognitive Science and Biopsychology
32,Commercial Art and Graphic Design
33,Communication Disorders Sciences and Services
34,Communications
35,Communication Technologies
36,Community and Public Health
37,Composition and Speech
38,Computer Administration Management and Security
39,Computer and Information Systemsâ€”General
40,Computer Engineering
41,Computer Networking and Telecommunications
42,Computer Programming
43,Computer Science
44,Computer Systems Analysis
45,Computer Teacher Education
46,Construction Services
47,Cosmetology Services and Culinary Arts
48,Counseling Psychology
49,Court Reporting
50,Criminal Justice and Fire Protection
51,Criminology
52,Data Processing
53,Decision Science
54,Drama and Theater Arts
55,Early Childhood Education
56,Ecology
57,Economics
58,Educational Administration and Supervision
59,Educational Psychology
60,Electrical and Mechanic Repairs and Technologies
61,Electrical Engineering
62,Electrical Engineering Technology
63,Elementary Education
64,Energy and Biologically Based Therapies
65,Engineering and Industrial Management
66,Engineering Mechanics Physics and Science
67,Engineering Technologies
68,English Language and Literature
69,Environmental Engineering
70,Environmental Science
71,Epidemiology
72,Experimental Psychology
73,Family and Consumer Sciences
74,Film Video and Photographic Arts
75,Finance
76,Fine Arts
77,Food Science
78,Forestry
79,French
80,General Agriculture
81,General Business
82,General Education
83,General Engineering
84,General Medical and Health Services
85,General Social Sciences
86,Genetics
87,Geography
88,Geological and Geophysical Engineering
89,Geology and Earth Science
90,Geosciences
91,Health and Medical Administrative Services
92,Health and Medical Preparatory Programs
93,History
94,History and Philosophy of Science and Technology
95,Hospitality Management
96,Humanities
97,Human Resources and Personnel Management
98,Human Services and Community Organization
99,Industrial and Manufacturing Engineering
100,Industrial and Organizational Psychology
101,Industrial Production Technologies
102,Information Sciences
103,Intercultural and International Studies
104,Interdisciplinary Social Sciences
105,International Business
106,International Relations
107,Journalism
108,Language and Drama Education
109,Language Studies
110,Liberal Arts
111,Library Science
112,Linguistics and Comparative Language and Literature
113,Management Information Systems and Statistics
114,Marketing
115,Marketing Research
116,Mass Media
117,Materials Engineering and Materials Science
118,Mathematics
119,Mathematics and Computer Science
120,Mathematics Teacher Education
121,Mechanical Engineering
122,Mechanical Engineering Related Technologies
123,Medical Assisting Services
124,Medical Office Assistance and Administration
125,Medical Technologies Technicians
126,Metallurgical Engineering
127,Microbiology
128,Military Technologies
129,Mining and Mineral Engineering
130,Miscellaneous Agriculture
131,Miscellaneous Biology
132,Miscellaneous Business
133,Miscellaneous Computer Sciences
134,Miscellaneous Education
135,Miscellaneous Engineering
136,Miscellaneous Engineering Technologies
137,Miscellaneous Fine Arts
138,Miscellaneous Health Medical Professions
139,Miscellaneous Mathematics
140,Miscellaneous Physical Sciences
141,Miscellaneous Psychology
142,Miscellaneous Social Sciences
143,Molecular Biology
144,Multidisciplinary or General Science
145,Music
146,Natural Resources Management
147,Naval Architecture and Marine Engineering
148,Neuroscience
149,Nuclear and Industrial Radiology Technologies
150,Nuclear Engineering
151,Nursing
152,Nutrition Sciences
153,Oceanography
154,Operations Logistics and E-Commerce
155,Operations Research
156,Other Foreign Languages
157,Petroleum Engineering
158,Pharmacology
159,Pharmacy Pharmaceutical Sciences and Administration
160,Philosophy and Religious Studies
161,Physical and Health Education Teaching
162,Physical Fitness
163,Physical Sciences
164,Physics
165,Physiology
166,Plant Science and Agronomy
167,Political Science and Government
168,Pre-Law and Legal Studies
169,Precision Production
170,Psychology
171,Public Administration
172,Public Policy
173,School Student Counseling
174,Science Teacher Education
175,Secondary Teacher Education
176,Social Psychology
177,Social Science or History Teacher Education
178,Social Work
179,Sociology
180,Soil Science
181,Special Needs Education
182,Statistics
183,Studio Arts
184,Teacher Education: Multiple Levels
185,Technology Education Industrial Arts
186,Theology and Religious Vocations
187,Transportation Sciences and Technologies
188,Treatment Therapy Professions
189,US History
190,Visual and Performing Arts
191,Zoology
